DATE,ICNSA
1974-10-19,324000
1974-10-26,357000
1974-11-02,375000
1974-11-09,435000
1974-11-16,450000
1974-11-23,532000
1974-11-30,524000
1974-12-07,693000
1974-12-14,637000
1974-12-21,677000
1974-12-28,813000
1975-01-04,681000
1975-01-11,969000
1975-01-18,850000
1975-01-25,729000
1975-02-01,699000
1975-02-08,691000
1975-02-15,608000
1975-02-22,567000
1975-03-01,568000
1975-03-08,569000
1975-03-15,494000
1975-03-22,499000
1975-03-29,477000
1975-04-05,505000
1975-04-12,496000
1975-04-19,456000
1975-04-26,429000
1975-05-03,420000
1975-05-10,432000
1975-05-17,410000
1975-05-24,391000
1975-05-31,360000
1975-06-07,443000
1975-06-14,422000
1975-06-21,428000
1975-06-28,407000
1975-07-05,460000
1975-07-12,517000
1975-07-19,481000
1975-07-26,471000
1975-08-02,462000
1975-08-09,429000
1975-08-16,367000
1975-08-23,353000
1975-08-30,332000
1975-09-06,331000
1975-09-13,341000
1975-09-20,336000
1975-09-27,342000
1975-10-04,365000
1975-10-11,385000
1975-10-18,332000
1975-10-25,372000
1975-11-01,378000
1975-11-08,414000
1975-11-15,371000
1975-11-22,419000
1975-11-29,403000
1975-12-06,487000
1975-12-13,456000
1975-12-20,463000
1975-12-27,573000
1976-01-03,540000
1976-01-10,708000
1976-01-17,563000
1976-01-24,486000
1976-01-31,450000
1976-02-07,452000
1976-02-14,391000
1976-02-21,367000
1976-02-28,353000
1976-03-06,366000
1976-03-13,343000
1976-03-20,330000
1976-03-27,314000
1976-04-03,334000
1976-04-10,366000
1976-04-17,316000
1976-04-24,311000
1976-05-01,313000
1976-05-08,345000
1976-05-15,308000
1976-05-22,311000
1976-05-29,310000
1976-06-05,307000
1976-06-12,351000
1976-06-19,342000
1976-06-26,339000
1976-07-03,401000
1976-07-10,445000
1976-07-17,455000
1976-07-24,418000
1976-07-31,401000
1976-08-07,373000
1976-08-14,329000
1976-08-21,320000
1976-08-28,301000
1976-09-04,321000
1976-09-11,280000
1976-09-18,320000
1976-09-25,327000
1976-10-02,332000
1976-10-09,388000
1976-10-16,325000
1976-10-23,361000
1976-10-30,370000
1976-11-06,387000
1976-11-13,363000
1976-11-20,430000
1976-11-27,369000
1976-12-04,500000
1976-12-11,494000
1976-12-18,434000
1976-12-25,466000
1977-01-01,558000
1977-01-08,685000
1977-01-15,597000
1977-01-22,589000
1977-01-29,518000
1977-02-05,704000
1977-02-12,552000
1977-02-19,422000
1977-02-26,360000
1977-03-05,367000
1977-03-12,335000
1977-03-19,321000
1977-03-26,298000
1977-04-02,296000
1977-04-09,367000
1977-04-16,316000
1977-04-23,314000
1977-04-30,305000
1977-05-07,333000
1977-05-14,309000
1977-05-21,293000
1977-05-28,298000
1977-06-04,283000
1977-06-11,308000
1977-06-18,310000
1977-06-25,321000
1977-07-02,348000
1977-07-09,431000
1977-07-16,424000
1977-07-23,391000
1977-07-30,380000
1977-08-06,379000
1977-08-13,319000
1977-08-20,298000
1977-08-27,282000
1977-09-03,289000
1977-09-10,260000
1977-09-17,289000
1977-09-24,293000
1977-10-01,275000
1977-10-08,345000
1977-10-15,287000
1977-10-22,322000
1977-10-29,309000
1977-11-05,352000
1977-11-12,310000
1977-11-19,367000
1977-11-26,342000
1977-12-03,430000
1977-12-10,448000
1977-12-17,412000
1977-12-24,450000
1977-12-31,535000
1978-01-07,559000
1978-01-14,579000
1978-01-21,500000
1978-01-28,445000
1978-02-04,447000
1978-02-11,438000
1978-02-18,455000
1978-02-25,372000
1978-03-04,360000
1978-03-11,342000
1978-03-18,302000
1978-03-25,280000
1978-04-01,278000
1978-04-08,338000
1978-04-15,279000
1978-04-22,277000
1978-04-29,269000
1978-05-06,291000
1978-05-13,268000
1978-05-20,266000
1978-05-27,256000
1978-06-03,242000
1978-06-10,292000
1978-06-17,287000
1978-06-24,297000
1978-07-01,347000
1978-07-08,428000
1978-07-15,421000
1978-07-22,387000
1978-07-29,371000
1978-08-05,376000
1978-08-12,326000
1978-08-19,287000
1978-08-26,264000
1978-09-02,249000
1978-09-09,246000
1978-09-16,262000
1978-09-23,254000
1978-09-30,249000
1978-10-07,323000
1978-10-14,262000
1978-10-21,287000
1978-10-28,280000
1978-11-04,302000
1978-11-11,286000
1978-11-18,345000
1978-11-25,350000
1978-12-02,427000
1978-12-09,427000
1978-12-16,390000
1978-12-23,447000
1978-12-30,515000
1979-01-06,559000
1979-01-13,680000
1979-01-20,488000
1979-01-27,423000
1979-02-03,424000
1979-02-10,418000
1979-02-17,384000
1979-02-24,364000
1979-03-03,358000
1979-03-10,346000
1979-03-17,315000
1979-03-24,296000
1979-03-31,300000
1979-04-07,449000
1979-04-14,424000
1979-04-21,340000
1979-04-28,303000
1979-05-05,307000
1979-05-12,290000
1979-05-19,280000
1979-05-26,287000
1979-06-02,262000
1979-06-09,322000
1979-06-16,312000
1979-06-23,343000
1979-06-30,366000
1979-07-07,458000
1979-07-14,446000
1979-07-21,445000
1979-07-28,417000
1979-08-04,428000
1979-08-11,360000
1979-08-18,329000
1979-08-25,313000
1979-09-01,312000
1979-09-08,285000
1979-09-15,311000
1979-09-22,309000
1979-09-29,303000
1979-10-06,379000
1979-10-13,335000
1979-10-20,342000
1979-10-27,353000
1979-11-03,372000
1979-11-10,392000
1979-11-17,401000
1979-11-24,379000
1979-12-01,513000
1979-12-08,521000
1979-12-15,455000
1979-12-22,580000
1979-12-29,596000
1980-01-05,574000
1980-01-12,804000
1980-01-19,648000
1980-01-26,515000
1980-02-02,471000
1980-02-09,493000
1980-02-16,418000
1980-02-23,415000
1980-03-01,407000
1980-03-08,413000
1980-03-15,398000
1980-03-22,392000
1980-03-29,399000
1980-04-05,451000
1980-04-12,535000
1980-04-19,495000
1980-04-26,482000
1980-05-03,491000
1980-05-10,526000
1980-05-17,539000
1980-05-24,525000
1980-05-31,477000
1980-06-07,562000
1980-06-14,511000
1980-06-21,529000
1980-06-28,563000
1980-07-05,584000
1980-07-12,643000
1980-07-19,628000
1980-07-26,569000
1980-08-02,536000
1980-08-09,494000
1980-08-16,435000
1980-08-23,410000
1980-08-30,397000
1980-09-06,374000
1980-09-13,414000
1980-09-20,381000
1980-09-27,363000
1980-10-04,410000
1980-10-11,417000
1980-10-18,355000
1980-10-25,384000
1980-11-01,395000
1980-11-08,416000
1980-11-15,403000
1980-11-22,440000
1980-11-29,407000
1980-12-06,534000
1980-12-13,481000
1980-12-20,499000
1980-12-27,546000
1981-01-03,580000
1981-01-10,839000
1981-01-17,638000
1981-01-24,521000
1981-01-31,490000
1981-02-07,500000
1981-02-14,439000
1981-02-21,430000
1981-02-28,432000
1981-03-07,414000
1981-03-14,385000
1981-03-21,365000
1981-03-28,356000
1981-04-04,383000
1981-04-11,401000
1981-04-18,350000
1981-04-25,379000
1981-05-02,342000
1981-05-09,369000
1981-05-16,340000
1981-05-23,342000
1981-05-30,301000
1981-06-06,384000
1981-06-13,367000
1981-06-20,376000
1981-06-27,387000
1981-07-04,430000
1981-07-11,516000
1981-07-18,481000
1981-07-25,429000
1981-08-01,444000
1981-08-08,419000
1981-08-15,369000
1981-08-22,351000
1981-08-29,352000
1981-09-05,396000
1981-09-12,331000
1981-09-19,392000
1981-09-26,392000
1981-10-03,416000
1981-10-10,476000
1981-10-17,408000
1981-10-24,450000
1981-10-31,479000
1981-11-07,534000
1981-11-14,483000
1981-11-21,522000
1981-11-28,535000
1981-12-05,726000
1981-12-12,657000
1981-12-19,644000
1981-12-26,702000
1982-01-02,694300
1982-01-09,1073500
1982-01-16,761700
1982-01-23,771200
1982-01-30,692300
1982-02-06,671000
1982-02-13,532800
1982-02-20,522900
1982-02-27,536300
1982-03-06,566300
1982-03-13,515100
1982-03-20,510500
1982-03-27,501500
1982-04-03,516600
1982-04-10,606300
1982-04-17,540300
1982-04-24,518600
1982-05-01,475600
1982-05-08,516500
1982-05-15,486500
1982-05-22,486300
1982-05-29,485800
1982-06-05,478600
1982-06-12,541600
1982-06-19,508100
1982-06-26,507700
1982-07-03,594400
1982-07-10,631400
1982-07-17,647000
1982-07-24,576100
1982-07-31,562600
1982-08-07,569200
1982-08-14,536400
1982-08-21,510400
1982-08-28,502300
1982-09-04,537600
1982-09-11,467700
1982-09-18,559500
1982-09-25,535000
1982-10-02,565600
1982-10-09,638100
1982-10-16,540300
1982-10-23,577600
1982-10-30,576800
1982-11-06,604800
1982-11-13,546700
1982-11-20,650400
1982-11-27,574100
1982-12-04,709400
1982-12-11,638200
1982-12-18,598000
1982-12-25,653600
1983-01-01,745100
1983-01-08,976600
1983-01-15,773600
1983-01-22,650600
1983-01-29,597700
1983-02-05,594200
1983-02-12,525100
1983-02-19,506300
1983-02-26,448700
1983-03-05,497400
1983-03-12,459700
1983-03-19,427500
1983-03-26,422100
1983-04-02,423000
1983-04-09,509700
1983-04-16,464800
1983-04-23,431300
1983-04-30,399900
1983-05-07,435000
1983-05-14,385200
1983-05-21,380300
1983-05-28,373000
1983-06-04,351100
1983-06-11,390100
1983-06-18,369200
1983-06-25,383500
1983-07-02,397400
1983-07-09,451900
1983-07-16,459400
1983-07-23,428300
1983-07-30,383400
1983-08-06,382500
1983-08-13,382300
1983-08-20,356900
1983-08-27,323600
1983-09-03,328800
1983-09-10,288700
1983-09-17,326900
1983-09-24,324700
1983-10-01,318500
1983-10-08,390500
1983-10-15,319900
1983-10-22,354900
1983-10-29,356400
1983-11-05,398200
1983-11-12,347300
1983-11-19,431900
1983-11-26,362900
1983-12-03,458400
1983-12-10,442900
1983-12-17,414600
1983-12-24,496800
1983-12-31,558900
1984-01-07,621600
1984-01-14,637900
1984-01-21,475100
1984-01-28,448500
1984-02-04,408400
1984-02-11,381500
1984-02-18,349300
1984-02-25,329100
1984-03-03,350500
1984-03-10,344000
1984-03-17,323500
1984-03-24,317600
1984-03-31,291400
1984-04-07,390300
1984-04-14,330800
1984-04-21,326500
1984-04-28,309300
1984-05-05,318900
1984-05-12,312100
1984-05-19,294200
1984-05-26,292700
1984-06-02,268700
1984-06-09,333800
1984-06-16,309900
1984-06-23,316800
1984-06-30,329000
1984-07-07,432500
1984-07-14,435900
1984-07-21,396200
1984-07-28,343800
1984-08-04,348100
1984-08-11,328100
1984-08-18,321000
1984-08-25,303300
1984-09-01,303500
1984-09-08,289300
1984-09-15,320700
1984-09-22,313200
1984-09-29,304700
1984-10-06,373300
1984-10-13,353200
1984-10-20,378700
1984-10-27,380500
1984-11-03,413400
1984-11-10,397500
1984-11-17,370800
1984-11-24,387000
1984-12-01,494700
1984-12-08,477900
1984-12-15,443700
1984-12-22,482300
1984-12-29,527500
1985-01-05,568300
1985-01-12,770000
1985-01-19,537700
1985-01-26,478300
1985-02-02,452400
1985-02-09,473300
1985-02-16,404700
1985-02-23,379000
1985-03-02,377300
1985-03-09,389200
1985-03-16,360500
1985-03-23,346700
1985-03-30,329100
1985-04-06,398000
1985-04-13,397500
1985-04-20,351800
1985-04-27,324700
1985-05-04,335600
1985-05-11,339100
1985-05-18,324900
1985-05-25,328500
1985-06-01,293500
1985-06-08,368900
1985-06-15,339200
1985-06-22,339500
1985-06-29,349800
1985-07-06,409500
1985-07-13,481500
1985-07-20,413700
1985-07-27,358700
1985-08-03,365800
1985-08-10,358200
1985-08-17,319400
1985-08-24,314800
1985-08-31,317600
1985-09-07,304700
1985-09-14,332900
1985-09-21,317600
1985-09-28,301600
1985-10-05,355600
1985-10-12,358000
1985-10-19,331000
1985-10-26,375700
1985-11-02,375300
1985-11-09,404100
1985-11-16,380300
1985-11-23,423100
1985-11-30,384700
1985-12-07,504200
1985-12-14,443400
1985-12-21,458200
1985-12-28,548200
1986-01-04,547500
1986-01-11,803900
1986-01-18,568800
1986-01-25,395700
1986-02-01,425400
1986-02-08,438100
1986-02-15,374200
1986-02-22,382200
1986-03-01,381200
1986-03-08,371700
1986-03-15,361600
1986-03-22,363100
1986-03-29,333300
1986-04-05,366100
1986-04-12,386100
1986-04-19,348700
1986-04-26,335100
1986-05-03,333600
1986-05-10,343800
1986-05-17,319000
1986-05-24,321700
1986-05-31,278700
1986-06-07,342200
1986-06-14,324700
1986-06-21,327400
1986-06-28,336100
1986-07-05,377400
1986-07-12,456200
1986-07-19,402400
1986-07-26,370700
1986-08-02,370900
1986-08-09,376900
1986-08-16,326000
1986-08-23,310200
1986-08-30,307100
1986-09-06,283700
1986-09-13,320800
1986-09-20,315800
1986-09-27,294200
1986-10-04,328900
1986-10-11,357700
1986-10-18,313000
1986-10-25,332400
1986-11-01,334100
1986-11-08,357600
1986-11-15,347400
1986-11-22,410600
1986-11-29,350900
1986-12-06,462700
1986-12-13,438600
1986-12-20,423800
